follow_up,population,n,events,term,HR,HR_lower_95,HR_upper_95,p,E_value
5 years,Overall,80000,45805,age_at_rt,1.0219886534150975,1.0212824604706492,1.0226953346754566,0.0,1.1718958056597677
5 years,Overall,80000,45805,approval_to_rt_days,1.0006124548805995,0.998575954875816,1.0026531081320629,0.5558493543179279,1.0253678579591243
5 years,Overall,80000,45805,timing_group_Night,0.9674101119613978,0.9379910818885335,0.9977518366601914,0.03548266813944684,1.2202960064167467
5 years,Overall,80000,45805,timing_group_Afternoon,0.9879977550616718,0.9646655486674142,1.0118942936806845,0.3220452566446441,1.1230336830545469
5 years,Overall,80000,45805,timing_group_Evening,0.9804514206376451,0.9558358925128614,1.0057008695323102,0.12806546471101354,1.1625422843669964
5 years,Overall,80000,45805,sex_Male,1.2496125290232074,1.2266212258348352,1.273034772106607,2.6227880390581906e-122,1.8081095690051296
5 years,Overall,80000,45805,year_bin_2015-2019,0.9963966652900205,0.9702831678775273,1.0232129624311783,0.7899239803890892,1.063861230917421
5 years,Overall,80000,45805,year_bin_2020-2025,0.9935461293130664,0.9695111212683587,1.0181769857178768,0.6043077794967006,1.087353625943889
5 years,Overall,80000,45805,stage_Stage II,1.2343772412827618,1.1964451847899757,1.2735118943742585,6.491843326132932e-40,1.7722526288160452
5 years,Overall,80000,45805,stage_Stage III,1.6761326165939254,1.626985227588089,1.7267646323837873,1.3357328097177906e-253,2.7406925875753982
5 years,Overall,80000,45805,stage_Stage IV,2.6960577742963507,2.6131904758499926,2.7815528908123293,0.0,4.834437943500939
5 years,Overall,80000,45805,stage_Recurrence,2.180509503594704,2.064828816673266,2.3026711255062766,7.161852824450787e-173,3.784913502490281
5 years,Overall,80000,45805,stage_Unknown,1.3616751233289743,1.301490151714473,1.4246432361016832,7.416713595742043e-41,2.063447179030826
5 years,Overall,80000,45805,kps_group_<90,1.3930830023317282,1.3605630375409272,1.4263802542314794,1.3944802868106778e-166,2.1330811435819976
5 years,Overall,80000,45805,kps_group_Not documented,1.1006600381615896,1.0763266457754848,1.1255435553516655,4.1538064165123873e-17,1.4335150838560815
5 years,Overall,80000,45805,concurrent_chemo_Yes,1.0515027813304747,1.0304477611528107,1.0729880163054286,1.1371339235575639e-06,1.2842157328721742
5 years,Overall,80000,45805,total_dose_group_Middle,0.8988135781220531,0.8772332942407478,0.9209247454701114,7.731676887523179e-18,1.4664866714845801
5 years,Overall,80000,45805,total_dose_group_High,0.9401817981360533,0.9162624293334013,0.9647255908871296,2.7159450237023407e-06,1.3237627034761386
