cancer_type,n,events,term,HR,HR_lower_95,HR_upper_95,p,E_value
Nasopharyngeal Carcinoma,1336,631,age_at_rt,1.0160269548004366,1.0097701571107462,1.0223225212307698,4.537087268721859e-07,1.1436350191248037
Nasopharyngeal Carcinoma,1336,631,approval_to_rt_days,1.0111504378811502,0.9928911142326665,1.0297455515224345,0.2330097992189737,1.1173331584438275
Nasopharyngeal Carcinoma,1336,631,treatment_group_Night,0.7911020038816499,0.6758548869850973,0.9260011173957255,0.0035343158598973197,1.84180244262247
Nasopharyngeal Carcinoma,1336,631,sex_Male,1.1432748680762779,0.9649063256156859,1.3546158723136286,0.12182181207461446,1.548000152557681
Nasopharyngeal Carcinoma,1336,631,year_bin_2015-2019,1.0683365673448482,0.8409355968243187,1.3572300012465917,0.5882928111732717,1.3385336320611865
Nasopharyngeal Carcinoma,1336,631,year_bin_2020-2025,1.069415054002288,0.859862996043207,1.3300357882469567,0.546429228944459,1.3418733145201671
Nasopharyngeal Carcinoma,1336,631,stage_Stage II,1.0735748507106815,0.8095866525872687,1.4236437278148215,0.6219910101841785,1.354623083880329
Nasopharyngeal Carcinoma,1336,631,stage_Stage III,1.4779358792594837,1.133341631351241,1.9273045327014504,0.003925636907854653,2.3183872960249143
Nasopharyngeal Carcinoma,1336,631,stage_Stage IV,2.685040768625856,2.0328978724349573,3.5463876601669253,3.4602799438708464e-12,4.81210521535921
Nasopharyngeal Carcinoma,1336,631,stage_Recurrence,2.019404657326969,1.2407812031721908,3.2866351937054,0.004682239385144992,3.4541835645830257
Nasopharyngeal Carcinoma,1336,631,stage_Unknown,1.37633737538596,0.9398114253735846,2.015621985156552,0.1007873045193251,2.096036753945059
Nasopharyngeal Carcinoma,1336,631,kps_group_<90,1.4074546313996878,1.1502962959702028,1.722102858531455,0.0008997278942069345,2.1647352320020956
Nasopharyngeal Carcinoma,1336,631,kps_group_Not documented,1.2769068285940723,1.0571074420473612,1.5424080694695568,0.01120698194032477,1.871536310133711
Nasopharyngeal Carcinoma,1336,631,concurrent_chemo_Yes,0.9350260587790383,0.7979860027942565,1.0956003332570663,0.4060718492001395,1.3421014882995368
Nasopharyngeal Carcinoma,1336,631,total_dose_group_Middle,0.7583553046084452,0.6275237669017405,0.9164637235450225,0.004198969540777233,1.9668533781900597
Nasopharyngeal Carcinoma,1336,631,total_dose_group_High,0.7816458065814264,0.6276060769227241,0.973493070592999,0.027817134322398265,1.8771722874728958
Nasopharyngeal Carcinoma,1336,631,fraction_dose_group_Middle,0.9753881502947337,0.8136386920888239,1.1692930203367478,0.7876451592176539,1.1860730951024008
Esophageal Cancer,1376,985,age_at_rt,1.018401217740732,1.0133575044420837,1.0234700347601575,6.104132522499838e-13,1.1552946892982676
Esophageal Cancer,1376,985,approval_to_rt_days,1.0148374180609097,1.0014066351431004,1.0284483335277306,0.030253614071621242,1.1375466965838634
Esophageal Cancer,1376,985,treatment_group_Night,0.9703978115926165,0.8554344658406445,1.1008112840278752,0.640453441928271,1.2078065831882965
Esophageal Cancer,1376,985,sex_Male,1.0883194327463817,0.9378653662816138,1.262909613977315,0.26488705587933725,1.3983512939268485
Esophageal Cancer,1376,985,year_bin_2015-2019,0.9186256411754736,0.7616571136417947,1.1079435267008106,0.37465655619089,1.3991139100287417
Esophageal Cancer,1376,985,year_bin_2020-2025,0.9479301157673821,0.7992751226840691,1.1242330442629607,0.5389260043002737,1.2956527537832125
Esophageal Cancer,1376,985,stage_Stage II,1.1227860955711388,0.9055420416170944,1.3921480820003094,0.2911531744221519,1.4940845211491955
Esophageal Cancer,1376,985,stage_Stage III,1.808013003240219,1.4795254937175277,2.209432033287978,7.078306563389453e-09,3.0166891454079616
Esophageal Cancer,1376,985,stage_Stage IV,2.6770910002706216,2.1438808401253966,3.342917241291623,3.642532630977526e-18,4.795988171786817
Esophageal Cancer,1376,985,stage_Recurrence,2.196079095567899,1.4965613385330265,3.2225631317709538,5.809020292765426e-05,3.816783972595923
Esophageal Cancer,1376,985,stage_Unknown,1.3950535570715805,1.0462963121309294,1.8600604862444865,0.02331084620663401,2.1374287115766926
Esophageal Cancer,1376,985,kps_group_<90,1.5296531603351198,1.295334466914514,1.8063587827603436,5.435869624248065e-07,2.429756282531738
Esophageal Cancer,1376,985,kps_group_Not documented,1.215332533884635,1.043325470564519,1.4156974113928793,0.012255731508372211,1.7268993760800733
Esophageal Cancer,1376,985,concurrent_chemo_Yes,0.982174502275193,0.8655613764007338,1.1144983813058982,0.7803087950345671,1.154084290096578
Esophageal Cancer,1376,985,total_dose_group_Middle,0.7824550621814703,0.6717256292078048,0.9114374942868342,0.0016265464379357655,1.8741231278846164
Esophageal Cancer,1376,985,total_dose_group_High,0.7834919468323513,0.6601395507759624,0.9298937323624763,0.005245501726676436,1.8702224887285
Esophageal Cancer,1376,985,fraction_dose_group_Middle,1.1537228154481385,1.0001087520708702,1.3309315933186194,0.0498258923786534,1.5748564277820876
Lung Cancer,2026,1612,age_at_rt,1.0198829433736154,1.0160425419667274,1.0237378605929395,1.4817259648607284e-24,1.162284750984382
Lung Cancer,2026,1612,approval_to_rt_days,1.0040272577113236,0.9934702844701726,1.0146964131543548,0.45612549938198355,1.0676155940317293
Lung Cancer,2026,1612,treatment_group_Night,1.2465244240239821,1.129415390302333,1.3757764884648667,1.1995887377664953e-05,1.8008697276609285
Lung Cancer,2026,1612,sex_Male,0.9891145702464497,0.8941028614021617,1.094222684333592,0.8317804332856933,1.1164867004784957
Lung Cancer,2026,1612,year_bin_2015-2019,1.0065858685079863,0.8661968578417542,1.169728453188503,0.9317420807528655,1.088006026773558
Lung Cancer,2026,1612,year_bin_2020-2025,0.9916030670064732,0.8629095165700525,1.1394898579923356,0.9053630149143179,1.1008787858785216
Lung Cancer,2026,1612,stage_Stage II,1.3304673448691402,1.1260784476686132,1.5719538540391855,0.0007927608731144505,1.9935480419897844
Lung Cancer,2026,1612,stage_Stage III,1.8744456347161493,1.6000855919812242,2.1958490565220066,7.165885755773645e-15,3.1547193565390566
Lung Cancer,2026,1612,stage_Stage IV,2.7873685855509844,2.3592663303057044,3.2931524228168696,1.9607516381484505e-33,5.019420342604461
Lung Cancer,2026,1612,stage_Recurrence,2.750861514556229,1.974479724309193,3.832523058657453,2.2193371871435195e-09,4.945486210879125
Lung Cancer,2026,1612,stage_Unknown,1.6342244486176725,1.3023939519992904,2.050600391962808,2.2201651742614328e-05,2.6522937487353326
Lung Cancer,2026,1612,kps_group_<90,1.3294145584542736,1.1661197148281084,1.5155760131288805,2.0600224473739377e-05,1.9911762298858378
Lung Cancer,2026,1612,kps_group_Not documented,1.157812847423281,1.0286858801768752,1.30314862436715,0.01515177004711701,1.5852678067290826
Lung Cancer,2026,1612,concurrent_chemo_Yes,0.9292192242075704,0.8421301817806874,1.02531459543601,0.143722892971594,1.3624842598817088
Lung Cancer,2026,1612,total_dose_group_Middle,0.7467046338293919,0.5902540833078767,0.9446233849964892,0.014897345964861693,2.013225189202834
Lung Cancer,2026,1612,total_dose_group_High,0.6974287113266638,0.5654653442972903,0.8601885372608179,0.0007592479862105044,2.222542288398905
Lung Cancer,2026,1612,fraction_dose_group_Middle,0.8984682349040429,0.7052538984974291,1.1446163868806023,0.3861418104480433,1.4676539958108954
Lung Cancer,2026,1612,fraction_dose_group_High,0.8446696368284381,0.614322801197945,1.1613874562178177,0.2987795099618332,1.6504911165740097
