follow_up,population,n,events,term,HR,HR_lower_95,HR_upper_95,p,E_value
5 years,Overall,80000,45805,age_at_rt,1.0219936684321183,1.0212873950953447,1.0227004301936278,0.0,1.1719182824326893
5 years,Overall,80000,45805,approval_to_rt_days,1.0006007369695427,0.9985641000086332,1.0026415277850824,0.5634626329943726,1.0251180340156942
5 years,Overall,80000,45805,season_Summer,0.9867273085775591,0.9614427141727203,1.0126768523390188,0.3130519611439111,1.1302080703703319
5 years,Overall,80000,45805,season_Autumn,1.0107937668260256,0.9850011350255011,1.037261788564228,0.4156133507578519,1.1152460153816226
5 years,Overall,80000,45805,season_Winter,1.0129132989860774,0.9869344945841468,1.0395759362886283,0.3331065048872578,1.1272813551765244
5 years,Overall,80000,45805,timing_group_Night,0.9673834332846258,0.9379651477892399,0.9977243922114586,0.035330312328577605,1.2204060268969212
5 years,Overall,80000,45805,timing_group_Afternoon,0.9879749620253585,0.9646423983037745,1.0118718888008358,0.32114039161850155,1.1231648339263773
5 years,Overall,80000,45805,timing_group_Evening,0.9804584977069308,0.9558427466728028,1.0057081764463047,0.12820569464482576,1.1625080777677175
5 years,Overall,80000,45805,sex_Male,1.249422063541195,1.2264334403981436,1.2728415920857183,3.9086480266028675e-122,1.8076634354604957
5 years,Overall,80000,45805,year_bin_2015-2019,0.9963840451121841,0.9702707324977978,1.0232001565154623,0.7892054133811395,1.063980114505675
5 years,Overall,80000,45805,year_bin_2020-2025,0.9935033296426999,0.9694692662521603,1.0181332202793094,0.6019060017336662,1.0876681466775298
5 years,Overall,80000,45805,stage_Stage II,1.2343856968091884,1.1964532152584206,1.2735207938389814,6.459839596567657e-40,1.7722726288663981
5 years,Overall,80000,45805,stage_Stage III,1.6760326250473692,1.6268871896418113,1.7266626586700495,1.5630279541889283e-253,2.7404821236971673
5 years,Overall,80000,45805,stage_Stage IV,2.6964311746406233,2.613550525534206,2.781940126482797,0.0,4.835194813973682
5 years,Overall,80000,45805,stage_Recurrence,2.1802298090441665,2.06456334889633,2.302376443321938,8.186401614264929e-173,3.7843408436052393
5 years,Overall,80000,45805,stage_Unknown,1.361609292058239,1.3014268142193146,1.42457481585815,7.638632262612104e-41,2.0633005148629
