term,HR,HR_lower_95,HR_upper_95,p,E_value
age_at_rt,1.0187922146837154,1.0180602471257323,1.0195247085136037,0.0,1.1571589809841325
approval_to_rt_days,1.000510874782063,0.9984734934807893,1.0025524133520012,0.6233648010589851,1.0231191868620475
cancer_type_Breast Cancer,0.3100621898612158,0.28880102928557383,0.332888569751143,5.1904214995685655e-229,5.904057351753204
cancer_type_Colorectal Cancer,0.5790474197575347,0.5367538844235886,0.6246734752333046,2.89212561112267e-45,2.8474500169616688
cancer_type_Cervical Cancer,0.5594004753935318,0.5151774898048235,0.6074195749295322,1.8082257755722214e-43,2.974213977460809
cancer_type_Esophageal Cancer,0.8153224325151662,0.7539765377605084,0.8816596215804233,3.124386476908315e-07,1.753590018733025
cancer_type_Nasopharyngeal Carcinoma,0.5100184956701319,0.46568063683838185,0.5585778006395844,1.0438241706682735e-47,3.33318654737943
cancer_type_Lymphoma,0.6988903885956546,0.6424472173076455,0.7602924600068497,7.523523538400927e-17,2.2159906329588916
cancer_type_Gastric Cancer,0.5529147233655511,0.5009196204463118,0.6103068812557528,6.28551190543271e-32,3.0179054506034575
cancer_type_Other Head and Neck Cancer,0.5992011815556083,0.5443867462831351,0.6595348957869367,1.2750492962790547e-25,2.725439783420234
cancer_type_Pancreatic Cancer,1.516756951610049,1.3824537393361596,1.6641075102897187,1.2935147310196338e-18,2.4020787567449724
cancer_type_Prostate Cancer,0.3229488482566783,0.28717133726092114,0.36318373409095733,2.1290747359880278e-79,5.644334049881717
cancer_type_Soft Tissue Sarcoma,0.5411971937330521,0.475367308765949,0.6161433424290008,1.721484141733058e-20,3.099332110007972
cancer_type_Liver Cancer,1.1490788120984063,1.0302082646280646,1.2816652338643209,0.012626716874068196,1.5629668456474306
cancer_type_Other,0.5857986851092817,0.5358455250957538,0.6404086316003886,6.293649871575024e-32,2.805715990330282
timing_group_Night,1.2295931845382146,1.1369292978924017,1.329809516093509,2.3392839975965215e-07,1.7609181462373742
timing_group_Afternoon,1.0117147147032424,0.9497434496707401,1.077729637726816,0.718002966593975,1.1205813727938658
timing_group_Evening,1.0125949022768475,0.9472742955779117,1.0824197815813374,0.7129614453532783,1.125526447206556
sex_Male,0.9987746543765883,0.9773970044114854,1.0206198767978865,0.9115620737109139,1.0362747318363994
year_bin_2015-2019,0.9982623727910793,0.9720847457051724,1.025144946809727,0.8979320063433558,1.0434980665030276
year_bin_2020-2025,0.994016822731407,0.9699545715438485,1.0186760007743043,0.6312365255551216,1.0838357820509783
stage_Stage I,0.43109518021231047,0.4082007700589073,0.45527364971767564,1.2463586818466778e-200,4.069305050270852
