HR,HR_lower_95,HR_upper_95,p,cancer_type,subgroup,level,n,events,comparison
0.8112239878861369,0.6395683872015507,1.0289507294151194,0.08458334957810404,Nasopharyngeal Carcinoma,Sex,Female,658,307,Night vs Morning
0.811760758502257,0.6971022544416725,0.9452781494329473,0.007267925311607673,Nasopharyngeal Carcinoma,Sex,Male,1539,740,Night vs Morning
1.0296306057248015,0.7284847427825559,1.4552661462693952,0.8686186471590829,Nasopharyngeal Carcinoma,Tumor stage,Stage I,396,145,Night vs Morning
0.6865938055592858,0.516405006661713,0.912870804409522,0.009675646654976621,Nasopharyngeal Carcinoma,Tumor stage,Stage II,568,223,Night vs Morning
0.7081625452074469,0.5589036330497011,0.897282037152357,0.004270661214616242,Nasopharyngeal Carcinoma,Tumor stage,Stage III,665,321,Night vs Morning
0.842665001679335,0.6528750058231771,1.087626725976321,0.18857406347899372,Nasopharyngeal Carcinoma,Tumor stage,Stage IV,380,265,Night vs Morning
1.2738159372092785,0.7530777198828389,2.154634241656747,0.36680424228045205,Nasopharyngeal Carcinoma,Tumor stage,Unknown,135,63,Night vs Morning
0.7780047654106005,0.5903147244703868,1.0253706877202722,0.07473363073794688,Nasopharyngeal Carcinoma,KPS group,<90,420,231,Night vs Morning
0.7701379213272778,0.6469739682346751,0.9167485045567741,0.00330776573176077,Nasopharyngeal Carcinoma,KPS group,>=90,1270,580,Night vs Morning
0.9324317174856334,0.7099582161738182,1.2246198268664683,0.6149510031476636,Nasopharyngeal Carcinoma,KPS group,Not documented,507,236,Night vs Morning
0.869908231658739,0.7314915479293175,1.0345168493741181,0.11498413202854117,Nasopharyngeal Carcinoma,Concurrent chemotherapy,Not documented,1146,561,Night vs Morning
0.753483308685139,0.6225665445587252,0.911929979902014,0.0036524766657462754,Nasopharyngeal Carcinoma,Concurrent chemotherapy,Yes,1051,486,Night vs Morning
0.8872224086650408,0.6935789585724152,1.1349300504409843,0.3408561748000352,Nasopharyngeal Carcinoma,Total dose group,High,640,289,Night vs Morning
0.7621107131361045,0.6050334508041383,0.9599679791338391,0.02106054641768224,Nasopharyngeal Carcinoma,Total dose group,Low,629,329,Night vs Morning
0.7985230594734387,0.6531551030255631,0.9762444992883491,0.02820232839795567,Nasopharyngeal Carcinoma,Total dose group,Middle,928,429,Night vs Morning
0.815774091805473,0.6976176098270359,0.9539429043742776,0.010753668989515401,Nasopharyngeal Carcinoma,Dose per fraction group,Low,1449,699,Night vs Morning
0.7663076183886224,0.6124657948062531,0.9587921006857298,0.01991118700130452,Nasopharyngeal Carcinoma,Dose per fraction group,Middle,748,348,Night vs Morning
0.8186316088765448,0.7158907703610707,0.9361172664843769,0.003447170018491056,Nasopharyngeal Carcinoma,SBRT-like regimen,Non-SBRT,1996,954,Night vs Morning
0.7926726739846731,0.5000212703762482,1.2566064791788076,0.3229857486963267,Nasopharyngeal Carcinoma,SBRT-like regimen,SBRT-like,201,93,Night vs Morning
0.9850039242248954,0.7999058110397174,1.212933719630484,0.8868643004635328,Esophageal Cancer,Sex,Female,571,390,Night vs Morning
0.9723246771022339,0.865405241812354,1.0924538378367692,0.636784666645503,Esophageal Cancer,Sex,Male,1809,1271,Night vs Morning
1.0047749610901193,0.7706350196072056,1.3100530040124994,0.9719269406524691,Esophageal Cancer,Tumor stage,Stage I,439,248,Night vs Morning
1.019267288652642,0.8179459747966497,1.2701398842088458,0.8650219716913241,Esophageal Cancer,Tumor stage,Stage II,602,370,Night vs Morning
