Table,Characteristic,Overall,Morning,Night,Afternoon,Evening
Overall,N,80000,20265,10819,27826,21090
Overall,"Age at radiotherapy, median (IQR)",58.1 (48.9-67.4),58.1 (48.8-67.4),58.1 (48.8-67.3),58.1 (48.8-67.3),58.2 (49.0-67.6)
Overall,Sex,,,,,
Overall,  Male,33758 (42.2),8576 (42.3),4591 (42.4),11729 (42.2),8862 (42.0)
Overall,  Female,46242 (57.8),11689 (57.7),6228 (57.6),16097 (57.8),12228 (58.0)
Overall,Year of treatment,,,,,
Overall,  2020-2025,39982 (50.0),10072 (49.7),5449 (50.4),13989 (50.3),10472 (49.7)
Overall,  2015-2019,24480 (30.6),6280 (31.0),3301 (30.5),8422 (30.3),6477 (30.7)
Overall,  2010-2014,15538 (19.4),3913 (19.3),2069 (19.1),5415 (19.5),4141 (19.6)
Overall,Tumor stage,,,,,
Overall,  Stage III,23153 (28.9),5968 (29.4),3171 (29.3),7946 (28.6),6068 (28.8)
Overall,  Stage I,14475 (18.1),3739 (18.5),1903 (17.6),5053 (18.2),3780 (17.9)
Overall,  Stage II,20729 (25.9),5178 (25.6),2804 (25.9),7266 (26.1),5481 (26.0)
Overall,  Unknown,4971 (6.2),1189 (5.9),702 (6.5),1746 (6.3),1334 (6.3)
Overall,  Stage IV,14313 (17.9),3614 (17.8),1925 (17.8),4989 (17.9),3785 (17.9)
Overall,  Recurrence,2359 (2.9),577 (2.8),314 (2.9),826 (3.0),642 (3.0)
Overall,KPS group,,,,,
Overall,  Not documented,19202 (24.0),4842 (23.9),2626 (24.3),6647 (23.9),5087 (24.1)
Overall,  >=90,46230 (57.8),11757 (58.0),6198 (57.3),16136 (58.0),12139 (57.6)
Overall,  <90,14568 (18.2),3666 (18.1),1995 (18.4),5043 (18.1),3864 (18.3)
Overall,Concurrent chemotherapy,,,,,
Overall,  Not documented,57417 (71.8),14497 (71.5),7741 (71.6),20045 (72.0),15134 (71.8)
Overall,  Yes,22583 (28.2),5768 (28.5),3078 (28.4),7781 (28.0),5956 (28.2)
Overall,Total dose group,,,,,
Overall,  Low,19944 (24.9),4995 (24.6),2667 (24.7),6946 (25.0),5336 (25.3)
Overall,  Middle,29072 (36.3),7380 (36.4),4004 (37.0),10123 (36.4),7565 (35.9)
Overall,  High,30984 (38.7),7890 (38.9),4148 (38.3),10757 (38.7),8189 (38.8)
Overall,Dose per fraction group,,,,,
Overall,  Low,44375 (55.5),11279 (55.7),5962 (55.1),15472 (55.6),11662 (55.3)
Overall,  Middle,34736 (43.4),8771 (43.3),4746 (43.9),12047 (43.3),9172 (43.5)
Overall,  High,889 (1.1),215 (1.1),111 (1.0),307 (1.1),256 (1.2)
Nasopharyngeal Carcinoma,N,5590,1384,813,1908,1485
Nasopharyngeal Carcinoma,"Age at radiotherapy, median (IQR)",51.2 (42.4-59.9),51.5 (42.3-59.6),50.6 (42.1-59.7),51.9 (42.6-60.5),51.0 (42.2-59.4)
Nasopharyngeal Carcinoma,Sex,,,,,
Nasopharyngeal Carcinoma,  Male,3817 (68.3),975 (70.4),564 (69.4),1272 (66.7),1006 (67.7)
Nasopharyngeal Carcinoma,  Female,1773 (31.7),409 (29.6),249 (30.6),636 (33.3),479 (32.3)
